Name,Description,Example
acquisition_instrument_model,Manufacturers of an acquisition instrument may offer various versions (models) of that instrument with different features or sensitivities. Differences in features or sensitivities may be relevant to processing or interpretation of the data.,
acquisition_instrument_vendor,An acquisition instrument is the device that contains the signal detection hardware and signal processing software. Assays generate signals such as light of various intensities or color or signals representing the molecular mass.,
analyte_class,,
assay_category,,
assay_type,,
bulk_atac_cell_isolation_protocols_io_doi,Link to a protocols document answering the question: How was tissue stored and processed for cell/nuclei isolation,
bulk_transposition_input_number_nuclei,A number (no comma separators),
contributors_path,Relative path to file with ORCID IDs for contributors for this dataset.,
data_path,Relative path to file or directory with instrument data. Downstream processing will depend on filename extension conventions.,
description,Free-text description of this assay.,
donor_id,HuBMAP Display ID of the donor of the assayed tissue.,ABC123
execution_datetime,"Start date and time of assay, typically a date-time stamped folder generated by the acquisition instrument. YYYY-MM-DD hh:mm, where YYYY is the year, MM is the month with leading 0s, and DD is the day with leading 0s, hh is the hour with leading zeros, mm are the minutes with leading zeros.",
is_targeted,Specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay.,
is_technical_replicate,Is this a sequencing replicate?,
library_adapter_sequence,Adapter sequence to be used for adapter trimming,
library_average_fragment_size,Average size in basepairs (bp) of sequencing library fragments estimated via gel electrophoresis or bioanalyzer/tapestation.,
library_concentration_unit,Unit of library_concentration_value,
library_concentration_value,The concentration value of the pooled library samples submitted for sequencing.,
library_construction_protocols_io_doi,"A link to the protocol document containing the library construction method (including version) that was used, e.g. ""Smart-Seq2"", ""Drop-Seq"", ""10X v3"".",
library_creation_date,"date and time of library creation. YYYY-MM-DD, where YYYY is the year, MM is the month with leading 0s, and DD is the day with leading 0s.",
library_final_yield_unit,Units of final library yield,
library_final_yield_value,Total number of ng of library after final pcr amplification step. This is the concentration (ng/ul) * volume (ul),
library_id,"A library ID, unique within a TMC, which allows corresponding RNA and chromatin accessibility datasets to be linked.",
library_layout,State whether the library was generated for single-end or paired end sequencing.,
library_pcr_cycles,"Number of PCR cycles performed in order to add adapters and amplify the library. Usually, this includes 5 pre-amplificationn cycles followed by 0-5 additional cycles determined by qPCR.",
library_preparation_kit,Reagent kit used for library preparation,
operator,Name of the person responsible for executing the assay.,
operator_email,Email address for the operator.,
pi,Name of the principal investigator responsible for the data.,
pi_email,Email address for the principal investigator.,
protocols_io_doi,DOI for protocols.io referring to the protocol for this assay.,
sample_quality_metric,"This is a quality metric by visual inspection. This should answer the question: Are the nuclei intact and are the nuclei free of significant amounts of debris? This can be captured at a high level, “OK” or “not OK”.",
sequencing_phix_percent,Percent PhiX loaded to the run,
sequencing_read_format,"Slash-delimited list of the number of sequencing cycles for, for example, Read1, i7 index, i5 index, and Read2.",12/34/56
sequencing_read_percent_q30,Q30 is the weighted average of all the reads (e.g. # bases UMI * q30 UMI + # bases R2 * q30 R2 + ...),
sequencing_reagent_kit,Reagent kit used for sequencing,
tissue_id,HuBMAP Display ID of the assayed tissue.,ABC123-BL-1-2-3_456
transposition_kit_number,"If Tn5 came from a kit, provide the catalog number.",
transposition_method,"Modality of capturing accessible chromatin molecules. The kit used, for example.",
transposition_transposase_source,The source of the Tn5 transposase and transposon used for capturing accessible chromatin.,
version,Version of the schema to use when validating this metadata.,
